,QN_2,V_TE002,V_TE005,V_TE010,V_TE020,V_TE050,V_TE100,QN_8_x,ABSF_STD,VP_STD,TF_STD,P_STD,TT_STD,RF_STD,TD_STD,QN_9,TT_TU,RF_TU,QN_8_y,  R1,RS_IND,WRTR,QN_952,SD_DUETT,SD_UN_DUETT
2023-07-23 00:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-23 01:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-23 02:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-23 03:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-23 04:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-23 05:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-23 06:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-23 07:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-23 08:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-23 09:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-23 10:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-23 11:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-23 12:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-23 13:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,1.0,6.0,,,
2023-07-23 14:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,1.0,6.0,,,
2023-07-23 15:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,1.0,6.0,,,
2023-07-23 16:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,1.0,6.0,,,
2023-07-23 17:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,1.0,6.0,,,
2023-07-23 18:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-23 19:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-23 20:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-23 21:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-23 22:00:00,,,,,,,,,,,,,,,,,,,3.0,0.6,1.0,6.0,,,
2023-07-23 23:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-24 00:00:00,,,,,,,,,,,,,,,,,,,3.0,0.1,1.0,6.0,,,
2023-07-24 01:00:00,,,,,,,,,,,,,,,,,,,3.0,0.4,1.0,6.0,,,
2023-07-24 02:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-24 03:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-24 04:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-24 05:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-24 06:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-24 07:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-24 08:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-24 09:00:00,,,,,,,,,,,,,,,,,,,3.0,1.2,1.0,6.0,,,
2023-07-24 10:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,1.0,6.0,,,
2023-07-24 11:00:00,,,,,,,,,,,,,,,,,,,3.0,0.5,1.0,6.0,,,
2023-07-24 12:00:00,,,,,,,,,,,,,,,,,,,3.0,2.5,1.0,6.0,,,
2023-07-24 13:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,1.0,6.0,,,
2023-07-24 14:00:00,,,,,,,,,,,,,,,,,,,3.0,0.1,1.0,6.0,,,
2023-07-24 15:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-24 16:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-24 17:00:00,,,,,,,,,,,,,,,,,,,3.0,0.3,1.0,6.0,,,
2023-07-24 18:00:00,,,,,,,,,,,,,,,,,,,3.0,1.9,1.0,6.0,,,
2023-07-24 19:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-24 20:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-24 21:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-24 22:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-24 23:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-25 00:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-25 01:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-25 02:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-25 03:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-25 04:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-25 05:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,0.0,,,
2023-07-25 06:00:00,,,,,,,,,,,,,,,,,,,3.0,0.3,1.0,6.0,,,
2023-07-25 07:00:00,,,,,,,,,,,,,,,,,,,3.0,1.3,1.0,6.0,,,
2023-07-25 08:00:00,,,,,,,,,,,,,,,,,,,3.0,0.5,1.0,6.0,,,
2023-07-25 09:00:00,,,,,,,,,,,,,,,,,,,3.0,0.0,1.0,6.0,,,
2023-07-25 10:00:00,,,,,,,,,,,,,,,,,,,3.0,0.1,1.0,6.0,,,
