DATUM,STATIONS_ID,MESS_DATUM,QN_952,SD_DUETT,SD_UN_DUETT,eor
2024-04-01 01:00:00,18379,2024040101,500,0,-999,eor
2024-04-01 02:00:00,18379,2024040102,500,0,-999,eor
2024-04-01 03:00:00,18379,2024040103,500,0,-999,eor
2024-04-01 04:00:00,18379,2024040104,500,0,-999,eor
2024-04-01 05:00:00,18379,2024040105,502,0,-999,eor
2024-04-01 06:00:00,18379,2024040106,503,0,-999,eor
2024-04-01 07:00:00,18379,2024040107,503,0,-999,eor
2024-04-01 08:00:00,18379,2024040108,503,0,-999,eor
2024-04-01 09:00:00,18379,2024040109,503,0,-999,eor
2024-04-01 10:00:00,18379,2024040110,503,0,-999,eor
2024-04-01 11:00:00,18379,2024040111,503,0,-999,eor
2024-04-01 12:00:00,18379,2024040112,503,0,-999,eor
2024-04-01 13:00:00,18379,2024040113,503,8,-999,eor
2024-04-01 14:00:00,18379,2024040114,503,29,-999,eor
2024-04-01 15:00:00,18379,2024040115,503,56,-999,eor
2024-04-01 16:00:00,18379,2024040116,503,0,-999,eor
2024-04-01 17:00:00,18379,2024040117,503,0,-999,eor
2024-04-01 18:00:00,18379,2024040118,503,0,-999,eor
2024-04-01 19:00:00,18379,2024040119,502,0,-999,eor
2024-04-01 20:00:00,18379,2024040120,500,0,-999,eor
2024-04-01 21:00:00,18379,2024040121,500,0,-999,eor
2024-04-01 22:00:00,18379,2024040122,500,0,-999,eor
2024-04-01 23:00:00,18379,2024040123,500,0,-999,eor
2024-04-02 00:00:00,18379,2024040200,500,0,-999,eor
2024-04-02 01:00:00,18379,2024040201,500,0,-999,eor
2024-04-02 02:00:00,18379,2024040202,500,0,-999,eor
2024-04-02 03:00:00,18379,2024040203,500,0,-999,eor
2024-04-02 04:00:00,18379,2024040204,500,0,-999,eor
2024-04-02 05:00:00,18379,2024040205,502,0,-999,eor
2024-04-02 06:00:00,18379,2024040206,503,7,-999,eor
2024-04-02 07:00:00,18379,2024040207,503,32,-999,eor
2024-04-02 08:00:00,18379,2024040208,503,45,-999,eor
2024-04-02 09:00:00,18379,2024040209,503,40,-999,eor
2024-04-02 10:00:00,18379,2024040210,503,60,-999,eor
2024-04-02 11:00:00,18379,2024040211,503,41,-999,eor
2024-04-02 12:00:00,18379,2024040212,503,57,-999,eor
2024-04-02 13:00:00,18379,2024040213,503,43,-999,eor
2024-04-02 14:00:00,18379,2024040214,503,60,-999,eor
2024-04-02 15:00:00,18379,2024040215,503,46,-999,eor
2024-04-02 16:00:00,18379,2024040216,503,60,-999,eor
2024-04-02 17:00:00,18379,2024040217,503,30,-999,eor
2024-04-02 18:00:00,18379,2024040218,503,4,-999,eor
2024-04-02 19:00:00,18379,2024040219,502,0,-999,eor
2024-04-02 20:00:00,18379,2024040220,500,0,-999,eor
2024-04-02 21:00:00,18379,2024040221,500,0,-999,eor
2024-04-02 22:00:00,18379,2024040222,500,0,-999,eor
2024-04-02 23:00:00,18379,2024040223,500,0,-999,eor
2024-04-03 00:00:00,18379,2024040300,500,0,-999,eor
2024-04-03 01:00:00,18379,2024040301,500,0,-999,eor
2024-04-03 02:00:00,18379,2024040302,500,0,-999,eor
2024-04-03 03:00:00,18379,2024040303,500,0,-999,eor
2024-04-03 04:00:00,18379,2024040304,500,0,-999,eor
2024-04-03 05:00:00,18379,2024040305,502,0,-999,eor
2024-04-03 06:00:00,18379,2024040306,503,0,-999,eor
2024-04-03 07:00:00,18379,2024040307,503,0,-999,eor
2024-04-03 08:00:00,18379,2024040308,503,0,-999,eor
2024-04-03 09:00:00,18379,2024040309,503,0,-999,eor
2024-04-03 10:00:00,18379,2024040310,503,21,-999,eor
2024-04-03 11:00:00,18379,2024040311,503,15,-999,eor
2024-04-03 12:00:00,18379,2024040312,503,0,-999,eor
2024-04-03 13:00:00,18379,2024040313,503,0,-999,eor
2024-04-03 14:00:00,18379,2024040314,503,0,-999,eor
2024-04-03 15:00:00,18379,2024040315,503,0,-999,eor
2024-04-03 16:00:00,18379,2024040316,503,0,-999,eor
2024-04-03 17:00:00,18379,2024040317,503,0,-999,eor
2024-04-03 18:00:00,18379,2024040318,503,24,-999,eor
2024-04-03 19:00:00,18379,2024040319,502,0,-999,eor
2024-04-03 20:00:00,18379,2024040320,500,0,-999,eor
2024-04-03 21:00:00,18379,2024040321,500,0,-999,eor
2024-04-03 22:00:00,18379,2024040322,500,0,-999,eor
2024-04-03 23:00:00,18379,2024040323,500,0,-999,eor
2024-04-04 00:00:00,18379,2024040400,500,0,-999,eor
2024-04-04 01:00:00,18379,2024040401,500,0,-999,eor
2024-04-04 02:00:00,18379,2024040402,500,0,-999,eor
2024-04-04 03:00:00,18379,2024040403,500,0,-999,eor
2024-04-04 04:00:00,18379,2024040404,500,0,-999,eor
2024-04-04 05:00:00,18379,2024040405,502,0,-999,eor
2024-04-04 06:00:00,18379,2024040406,503,0,-999,eor
2024-04-04 07:00:00,18379,2024040407,503,14,-999,eor
2024-04-04 08:00:00,18379,2024040408,503,18,-999,eor
2024-04-04 09:00:00,18379,2024040409,503,0,-999,eor
2024-04-04 10:00:00,18379,2024040410,503,0,-999,eor
2024-04-04 11:00:00,18379,2024040411,503,0,-999,eor
2024-04-04 12:00:00,18379,2024040412,503,0,-999,eor
2024-04-04 13:00:00,18379,2024040413,503,0,-999,eor
2024-04-04 14:00:00,18379,2024040414,503,0,-999,eor
2024-04-04 15:00:00,18379,2024040415,503,18,-999,eor
2024-04-04 16:00:00,18379,2024040416,503,19,-999,eor
2024-04-04 17:00:00,18379,2024040417,503,3,-999,eor
2024-04-04 18:00:00,18379,2024040418,503,0,-999,eor
2024-04-04 19:00:00,18379,2024040419,502,0,-999,eor
2024-04-04 20:00:00,18379,2024040420,500,0,-999,eor
2024-04-04 21:00:00,18379,2024040421,500,0,-999,eor
2024-04-04 22:00:00,18379,2024040422,500,0,-999,eor
2024-04-04 23:00:00,18379,2024040423,500,0,-999,eor
2024-04-05 00:00:00,18379,2024040500,500,0,-999,eor
2024-04-05 01:00:00,18379,2024040501,500,0,-999,eor
2024-04-05 02:00:00,18379,2024040502,500,0,-999,eor
2024-04-05 03:00:00,18379,2024040503,500,0,-999,eor
2024-04-05 04:00:00,18379,2024040504,500,0,-999,eor
2024-04-05 05:00:00,18379,2024040505,502,0,-999,eor
2024-04-05 06:00:00,18379,2024040506,503,13,-999,eor
2024-04-05 07:00:00,18379,2024040507,503,43,-999,eor
2024-04-05 08:00:00,18379,2024040508,503,26,-999,eor
2024-04-05 09:00:00,18379,2024040509,503,60,-999,eor
2024-04-05 10:00:00,18379,2024040510,503,60,-999,eor
2024-04-05 11:00:00,18379,2024040511,503,60,-999,eor
2024-04-05 12:00:00,18379,2024040512,503,16,-999,eor
2024-04-05 13:00:00,18379,2024040513,503,0,-999,eor
2024-04-05 14:00:00,18379,2024040514,503,0,-999,eor
2024-04-05 15:00:00,18379,2024040515,503,0,-999,eor
2024-04-05 16:00:00,18379,2024040516,503,0,-999,eor
2024-04-05 17:00:00,18379,2024040517,503,0,-999,eor
2024-04-05 18:00:00,18379,2024040518,503,0,-999,eor
2024-04-05 19:00:00,18379,2024040519,502,0,-999,eor
2024-04-05 20:00:00,18379,2024040520,500,0,-999,eor
2024-04-05 21:00:00,18379,2024040521,500,0,-999,eor
2024-04-05 22:00:00,18379,2024040522,500,0,-999,eor
2024-04-05 23:00:00,18379,2024040523,500,0,-999,eor
2024-04-06 00:00:00,18379,2024040600,500,0,-999,eor
2024-04-06 01:00:00,18379,2024040601,500,0,-999,eor
2024-04-06 02:00:00,18379,2024040602,500,0,-999,eor
2024-04-06 03:00:00,18379,2024040603,500,0,-999,eor
2024-04-06 04:00:00,18379,2024040604,500,0,-999,eor
2024-04-06 05:00:00,18379,2024040605,502,0,-999,eor
2024-04-06 06:00:00,18379,2024040606,503,25,-999,eor
2024-04-06 07:00:00,18379,2024040607,503,53,-999,eor
2024-04-06 08:00:00,18379,2024040608,503,60,-999,eor
2024-04-06 09:00:00,18379,2024040609,503,60,-999,eor
2024-04-06 10:00:00,18379,2024040610,503,60,-999,eor
2024-04-06 11:00:00,18379,2024040611,503,60,-999,eor
2024-04-06 12:00:00,18379,2024040612,503,60,-999,eor
2024-04-06 13:00:00,18379,2024040613,503,60,-999,eor
2024-04-06 14:00:00,18379,2024040614,503,60,-999,eor
2024-04-06 15:00:00,18379,2024040615,503,60,-999,eor
2024-04-06 16:00:00,18379,2024040616,503,60,-999,eor
2024-04-06 17:00:00,18379,2024040617,503,19,-999,eor
2024-04-06 18:00:00,18379,2024040618,503,0,-999,eor
2024-04-06 19:00:00,18379,2024040619,502,0,-999,eor
2024-04-06 20:00:00,18379,2024040620,500,0,-999,eor
2024-04-06 21:00:00,18379,2024040621,500,0,-999,eor
2024-04-06 22:00:00,18379,2024040622,500,0,-999,eor
2024-04-06 23:00:00,18379,2024040623,500,0,-999,eor
2024-04-07 00:00:00,18379,2024040700,500,0,-999,eor
2024-04-07 01:00:00,18379,2024040701,500,0,-999,eor
2024-04-07 02:00:00,18379,2024040702,500,0,-999,eor
2024-04-07 03:00:00,18379,2024040703,500,0,-999,eor
2024-04-07 04:00:00,18379,2024040704,500,0,-999,eor
2024-04-07 05:00:00,18379,2024040705,502,0,-999,eor
2024-04-07 06:00:00,18379,2024040706,503,5,-999,eor
2024-04-07 07:00:00,18379,2024040707,503,29,-999,eor
2024-04-07 08:00:00,18379,2024040708,503,54,-999,eor
2024-04-07 09:00:00,18379,2024040709,503,1,-999,eor
2024-04-07 10:00:00,18379,2024040710,503,47,-999,eor
2024-04-07 11:00:00,18379,2024040711,503,58,-999,eor
2024-04-07 12:00:00,18379,2024040712,503,58,-999,eor
2024-04-07 13:00:00,18379,2024040713,503,60,-999,eor
2024-04-07 14:00:00,18379,2024040714,503,47,-999,eor
2024-04-07 15:00:00,18379,2024040715,503,60,-999,eor
2024-04-07 16:00:00,18379,2024040716,503,40,-999,eor
2024-04-07 17:00:00,18379,2024040717,503,11,-999,eor
2024-04-07 18:00:00,18379,2024040718,503,0,-999,eor
2024-04-07 19:00:00,18379,2024040719,502,0,-999,eor
2024-04-07 20:00:00,18379,2024040720,500,0,-999,eor
2024-04-07 21:00:00,18379,2024040721,500,0,-999,eor
2024-04-07 22:00:00,18379,2024040722,500,0,-999,eor
2024-04-07 23:00:00,18379,2024040723,500,0,-999,eor
2024-04-08 00:00:00,18379,2024040800,500,0,-999,eor
2024-04-08 01:00:00,18379,2024040801,500,0,-999,eor
2024-04-08 02:00:00,18379,2024040802,500,0,-999,eor
2024-04-08 03:00:00,18379,2024040803,500,0,-999,eor
2024-04-08 04:00:00,18379,2024040804,500,0,-999,eor
2024-04-08 05:00:00,18379,2024040805,502,0,-999,eor
2024-04-08 06:00:00,18379,2024040806,503,0,-999,eor
2024-04-08 07:00:00,18379,2024040807,503,29,-999,eor
2024-04-08 08:00:00,18379,2024040808,503,60,-999,eor
2024-04-08 09:00:00,18379,2024040809,503,60,-999,eor
2024-04-08 10:00:00,18379,2024040810,503,60,-999,eor
2024-04-08 11:00:00,18379,2024040811,503,60,-999,eor
2024-04-08 12:00:00,18379,2024040812,503,51,-999,eor
2024-04-08 13:00:00,18379,2024040813,503,43,-999,eor
2024-04-08 14:00:00,18379,2024040814,503,60,-999,eor
2024-04-08 15:00:00,18379,2024040815,503,32,-999,eor
2024-04-08 16:00:00,18379,2024040816,503,0,-999,eor
2024-04-08 17:00:00,18379,2024040817,503,0,-999,eor
2024-04-08 18:00:00,18379,2024040818,503,0,-999,eor
2024-04-08 19:00:00,18379,2024040819,502,0,-999,eor
2024-04-08 20:00:00,18379,2024040820,500,0,-999,eor
2024-04-08 21:00:00,18379,2024040821,500,0,-999,eor
2024-04-08 22:00:00,18379,2024040822,500,0,-999,eor
2024-04-08 23:00:00,18379,2024040823,500,0,-999,eor
2024-04-09 00:00:00,18379,2024040900,500,0,-999,eor
2024-04-09 01:00:00,18379,2024040901,500,0,-999,eor
2024-04-09 02:00:00,18379,2024040902,500,0,-999,eor
2024-04-09 03:00:00,18379,2024040903,500,0,-999,eor
2024-04-09 04:00:00,18379,2024040904,500,0,-999,eor
2024-04-09 05:00:00,18379,2024040905,502,0,-999,eor
2024-04-09 06:00:00,18379,2024040906,503,0,-999,eor
2024-04-09 07:00:00,18379,2024040907,503,29,-999,eor
2024-04-09 08:00:00,18379,2024040908,503,31,-999,eor
2024-04-09 09:00:00,18379,2024040909,503,0,-999,eor
2024-04-09 10:00:00,18379,2024040910,503,0,-999,eor
2024-04-09 11:00:00,18379,2024040911,503,0,-999,eor
2024-04-09 12:00:00,18379,2024040912,503,0,-999,eor
2024-04-09 13:00:00,18379,2024040913,503,0,-999,eor
2024-04-09 14:00:00,18379,2024040914,503,0,-999,eor
2024-04-09 15:00:00,18379,2024040915,503,0,-999,eor
2024-04-09 16:00:00,18379,2024040916,503,0,-999,eor
2024-04-09 17:00:00,18379,2024040917,503,0,-999,eor
2024-04-09 18:00:00,18379,2024040918,503,0,-999,eor
2024-04-09 19:00:00,18379,2024040919,502,0,-999,eor
2024-04-09 20:00:00,18379,2024040920,500,0,-999,eor
2024-04-09 21:00:00,18379,2024040921,500,0,-999,eor
2024-04-09 22:00:00,18379,2024040922,500,0,-999,eor
2024-04-09 23:00:00,18379,2024040923,500,0,-999,eor
2024-04-10 00:00:00,18379,2024041000,500,0,-999,eor
2024-04-10 01:00:00,18379,2024041001,500,0,-999,eor
2024-04-10 02:00:00,18379,2024041002,500,0,-999,eor
2024-04-10 03:00:00,18379,2024041003,500,0,-999,eor
2024-04-10 04:00:00,18379,2024041004,500,0,-999,eor
2024-04-10 05:00:00,18379,2024041005,502,0,-999,eor
2024-04-10 06:00:00,18379,2024041006,503,0,-999,eor
2024-04-10 07:00:00,18379,2024041007,503,0,-999,eor
2024-04-10 08:00:00,18379,2024041008,503,0,-999,eor
2024-04-10 09:00:00,18379,2024041009,503,60,-999,eor
2024-04-10 10:00:00,18379,2024041010,503,60,-999,eor
2024-04-10 11:00:00,18379,2024041011,503,60,-999,eor
2024-04-10 12:00:00,18379,2024041012,503,60,-999,eor
2024-04-10 13:00:00,18379,2024041013,503,60,-999,eor
2024-04-10 14:00:00,18379,2024041014,503,60,-999,eor
2024-04-10 15:00:00,18379,2024041015,503,60,-999,eor
2024-04-10 16:00:00,18379,2024041016,503,60,-999,eor
2024-04-10 17:00:00,18379,2024041017,503,60,-999,eor
2024-04-10 18:00:00,18379,2024041018,503,40,-999,eor
2024-04-10 19:00:00,18379,2024041019,502,0,-999,eor
2024-04-10 20:00:00,18379,2024041020,500,0,-999,eor
2024-04-10 21:00:00,18379,2024041021,500,0,-999,eor
2024-04-10 22:00:00,18379,2024041022,500,0,-999,eor
2024-04-10 23:00:00,18379,2024041023,500,0,-999,eor
2024-04-11 00:00:00,18379,2024041100,500,0,-999,eor
2024-04-11 01:00:00,18379,2024041101,500,0,-999,eor
2024-04-11 02:00:00,18379,2024041102,500,0,-999,eor
2024-04-11 03:00:00,18379,2024041103,500,0,-999,eor
2024-04-11 04:00:00,18379,2024041104,500,0,-999,eor
2024-04-11 05:00:00,18379,2024041105,502,0,-999,eor
2024-04-11 06:00:00,18379,2024041106,503,33,-999,eor
2024-04-11 07:00:00,18379,2024041107,503,60,-999,eor
2024-04-11 08:00:00,18379,2024041108,503,60,-999,eor
2024-04-11 09:00:00,18379,2024041109,503,60,-999,eor
2024-04-11 10:00:00,18379,2024041110,503,60,-999,eor
2024-04-11 11:00:00,18379,2024041111,503,60,-999,eor
2024-04-11 12:00:00,18379,2024041112,503,60,-999,eor
2024-04-11 13:00:00,18379,2024041113,503,60,-999,eor
2024-04-11 14:00:00,18379,2024041114,503,60,-999,eor
2024-04-11 15:00:00,18379,2024041115,503,60,-999,eor
2024-04-11 16:00:00,18379,2024041116,503,18,-999,eor
2024-04-11 17:00:00,18379,2024041117,503,13,-999,eor
2024-04-11 18:00:00,18379,2024041118,503,43,-999,eor
2024-04-11 19:00:00,18379,2024041119,502,0,-999,eor
2024-04-11 20:00:00,18379,2024041120,500,0,-999,eor
2024-04-11 21:00:00,18379,2024041121,500,0,-999,eor
2024-04-11 22:00:00,18379,2024041122,500,0,-999,eor
2024-04-11 23:00:00,18379,2024041123,500,0,-999,eor
2024-04-12 00:00:00,18379,2024041200,500,0,-999,eor
2024-04-12 01:00:00,18379,2024041201,500,0,-999,eor
2024-04-12 02:00:00,18379,2024041202,500,0,-999,eor
2024-04-12 03:00:00,18379,2024041203,500,0,-999,eor
2024-04-12 04:00:00,18379,2024041204,500,0,-999,eor
2024-04-12 05:00:00,18379,2024041205,502,0,-999,eor
2024-04-12 06:00:00,18379,2024041206,503,31,-999,eor
2024-04-12 07:00:00,18379,2024041207,503,60,-999,eor
2024-04-12 08:00:00,18379,2024041208,503,60,-999,eor
2024-04-12 09:00:00,18379,2024041209,503,60,-999,eor
2024-04-12 10:00:00,18379,2024041210,503,60,-999,eor
2024-04-12 11:00:00,18379,2024041211,503,60,-999,eor
2024-04-12 12:00:00,18379,2024041212,503,60,-999,eor
2024-04-12 13:00:00,18379,2024041213,503,60,-999,eor
2024-04-12 14:00:00,18379,2024041214,503,60,-999,eor
2024-04-12 15:00:00,18379,2024041215,503,60,-999,eor
2024-04-12 16:00:00,18379,2024041216,503,60,-999,eor
2024-04-12 17:00:00,18379,2024041217,503,60,-999,eor
2024-04-12 18:00:00,18379,2024041218,503,35,-999,eor
2024-04-12 19:00:00,18379,2024041219,502,0,-999,eor
2024-04-12 20:00:00,18379,2024041220,500,0,-999,eor
2024-04-12 21:00:00,18379,2024041221,500,0,-999,eor
2024-04-12 22:00:00,18379,2024041222,500,0,-999,eor
2024-04-12 23:00:00,18379,2024041223,500,0,-999,eor
2024-04-13 00:00:00,18379,2024041300,500,0,-999,eor
2024-04-13 01:00:00,18379,2024041301,500,0,-999,eor
2024-04-13 02:00:00,18379,2024041302,500,0,-999,eor
2024-04-13 03:00:00,18379,2024041303,500,0,-999,eor
2024-04-13 04:00:00,18379,2024041304,500,0,-999,eor
2024-04-13 05:00:00,18379,2024041305,502,0,-999,eor
2024-04-13 06:00:00,18379,2024041306,503,42,-999,eor
2024-04-13 07:00:00,18379,2024041307,503,60,-999,eor
2024-04-13 08:00:00,18379,2024041308,503,60,-999,eor
2024-04-13 09:00:00,18379,2024041309,503,60,-999,eor
2024-04-13 10:00:00,18379,2024041310,503,60,-999,eor
2024-04-13 11:00:00,18379,2024041311,503,60,-999,eor
2024-04-13 12:00:00,18379,2024041312,503,60,-999,eor
2024-04-13 13:00:00,18379,2024041313,503,60,-999,eor
2024-04-13 14:00:00,18379,2024041314,503,60,-999,eor
2024-04-13 15:00:00,18379,2024041315,503,60,-999,eor
2024-04-13 16:00:00,18379,2024041316,503,60,-999,eor
2024-04-13 17:00:00,18379,2024041317,503,60,-999,eor
2024-04-13 18:00:00,18379,2024041318,503,46,-999,eor
2024-04-13 19:00:00,18379,2024041319,502,0,-999,eor
2024-04-13 20:00:00,18379,2024041320,500,0,-999,eor
2024-04-13 21:00:00,18379,2024041321,500,0,-999,eor
2024-04-13 22:00:00,18379,2024041322,500,0,-999,eor
2024-04-13 23:00:00,18379,2024041323,500,0,-999,eor
