"Messstation";"Gewässer";"Parameter";"Jahr";"Datum";"Tagesmittelwert";"Dimension";"GCODE";"Ost";"Nord";"AWGN ID"
"Hofen";"Neckar";"Elektrische Leitfähigkeit bei ...Grad Celsius";"2024";"01.01.2024";"714,1";"µS/cm";"CYY176";"516.388";"5.409.435";"2.345"
"Hofen";"Neckar";"Elektrische Leitfähigkeit bei ...Grad Celsius";"2024";"02.01.2024";"724,5";"µS/cm";"CYY176";"516.388";"5.409.435";"2.345"
"Hofen";"Neckar";"Elektrische Leitfähigkeit bei ...Grad Celsius";"2024";"03.01.2024";"723,2";"µS/cm";"CYY176";"516.388";"5.409.435";"2.345"
"Hofen";"Neckar";"Elektrische Leitfähigkeit bei ...Grad Celsius";"2024";"04.01.2024";"638,2";"µS/cm";"CYY176";"516.388";"5.409.435";"2.345"
"Hofen";"Neckar";"Elektrische Leitfähigkeit bei ...Grad Celsius";"2024";"05.01.2024";"538,3";"µS/cm";"CYY176";"516.388";"5.409.435";"2.345"
"Hofen";"Neckar";"Elektrische Leitfähigkeit bei ...Grad Celsius";"2024";"06.01.2024";"543,5";"µS/cm";"CYY176";"516.388";"5.409.435";"2.345"
"Hofen";"Neckar";"Elektrische Leitfähigkeit bei ...Grad Celsius";"2024";"07.01.2024";"594,6";"µS/cm";"CYY176";"516.388";"5.409.435";"2.345"
"Hofen";"Neckar";"Elektrische Leitfähigkeit bei ...Grad Celsius";"2024";"08.01.2024";"644,7";"µS/cm";"CYY176";"516.388";"5.409.435";"2.345"
"Hofen";"Neckar";"Elektrische Leitfähigkeit bei ...Grad Celsius";"2024";"09.01.2024";"678,9";"µS/cm";"CYY176";"516.388";"5.409.435";"2.345"
"Hofen";"Neckar";"Elektrische Leitfähigkeit bei ...Grad Celsius";"2024";"10.01.2024";"703";"µS/cm";"CYY176";"516.388";"5.409.435";"2.345"
"Hofen";"Neckar";"Elektrische Leitfähigkeit bei ...Grad Celsius";"2024";"11.01.2024";"727,2";"µS/cm";"CYY176";"516.388";"5.409.435";"2.345"
"Hofen";"Neckar";"Elektrische Leitfähigkeit bei ...Grad Celsius";"2024";"12.01.2024";"750,3";"µS/cm";"CYY176";"516.388";"5.409.435";"2.345"
"Hofen";"Neckar";"Elektrische Leitfähigkeit bei ...Grad Celsius";"2024";"13.01.2024";"764,3";"µS/cm";"CYY176";"516.388";"5.409.435";"2.345"
