"Messstation";"Gewässer";"Parameter";"Jahr";"Datum";"Tagesmittelwert";"Dimension";"GCODE";"Ost";"Nord";"AWGN ID"
"Wendlingen";"Neckar";"Elektrische Leitfähigkeit bei ...Grad Celsius";"2024";"01.01.2024";"769,4";"µS/cm";"CYY208";"527.314";"5.391.653";"2.345"
"Wendlingen";"Neckar";"Elektrische Leitfähigkeit bei ...Grad Celsius";"2024";"02.01.2024";"781,8";"µS/cm";"CYY208";"527.314";"5.391.653";"2.345"
"Wendlingen";"Neckar";"Elektrische Leitfähigkeit bei ...Grad Celsius";"2024";"03.01.2024";"704,2";"µS/cm";"CYY208";"527.314";"5.391.653";"2.345"
"Wendlingen";"Neckar";"Elektrische Leitfähigkeit bei ...Grad Celsius";"2024";"04.01.2024";"549,5";"µS/cm";"CYY208";"527.314";"5.391.653";"2.345"
"Wendlingen";"Neckar";"Elektrische Leitfähigkeit bei ...Grad Celsius";"2024";"05.01.2024";"558";"µS/cm";"CYY208";"527.314";"5.391.653";"2.345"
"Wendlingen";"Neckar";"Elektrische Leitfähigkeit bei ...Grad Celsius";"2024";"06.01.2024";"-";"µS/cm";"CYY208";"527.314";"5.391.653";"2.345"
"Wendlingen";"Neckar";"Elektrische Leitfähigkeit bei ...Grad Celsius";"2024";"07.01.2024";"-";"µS/cm";"CYY208";"527.314";"5.391.653";"2.345"
"Wendlingen";"Neckar";"Elektrische Leitfähigkeit bei ...Grad Celsius";"2024";"08.01.2024";"-";"µS/cm";"CYY208";"527.314";"5.391.653";"2.345"
"Wendlingen";"Neckar";"Elektrische Leitfähigkeit bei ...Grad Celsius";"2024";"09.01.2024";"-";"µS/cm";"CYY208";"527.314";"5.391.653";"2.345"
"Wendlingen";"Neckar";"Elektrische Leitfähigkeit bei ...Grad Celsius";"2024";"10.01.2024";"-";"µS/cm";"CYY208";"527.314";"5.391.653";"2.345"
"Wendlingen";"Neckar";"Elektrische Leitfähigkeit bei ...Grad Celsius";"2024";"11.01.2024";"-";"µS/cm";"CYY208";"527.314";"5.391.653";"2.345"
"Wendlingen";"Neckar";"Elektrische Leitfähigkeit bei ...Grad Celsius";"2024";"12.01.2024";"-";"µS/cm";"CYY208";"527.314";"5.391.653";"2.345"
"Wendlingen";"Neckar";"Elektrische Leitfähigkeit bei ...Grad Celsius";"2024";"13.01.2024";"-";"µS/cm";"CYY208";"527.314";"5.391.653";"2.345"
