,Unnamed: 0,QN_2,V_TE002,V_TE005,V_TE010,V_TE020,V_TE050,V_TE100,QN_8,P,P0,QN_8_y,ABSF_STD,VP_STD,TF_STD,P_STD,TT_STD,RF_STD,TD_STD,QN_9,TT_TU,RF_TU,R1,r1_daily,r1_3_days,r1_week,QN_952,SD_DUETT,SD_UN_DUETT,QN_8_y.1,TT,TD,QN_8_y.2,V_N_I,V_N,zeit,ecoli,entro,pos_neg,Elektrische Leitfähigkeit bei ...Grad Celsius,Sauerstoff,Temperatur,"Trübung, quantitativ",pH-Wert bei ...Grad Celsius,Wassertemperatur Hofen
2024-05-06 09:00:00,0,3.0,-999.0,17.7,15.5,14.4,14.5,13.1,3.0,1008.3,971.4,3.0,10.2,13.7,13.6,963.7,16.6,72.3,11.6,3.0,16.6,72.0,0.0,,,,503.0,0.0,0.0,3.0,15.1,11.4,3.0,   I,8.0,,,,,764.5,7,14.5,23,7.9,15.0
2024-05-06 10:00:00,1,3.0,-999.0,17.9,16.4,14.9,14.4,13.1,3.0,1008.3,971.4,3.0,9.7,13.0,13.5,963.5,17.3,65.6,10.8,3.0,17.3,66.0,0.1,,,,503.0,0.0,0.0,3.0,15.4,10.5,3.0,   I,8.0,,,,,764.5,7,14.5,23,7.9,15.0
2024-05-06 11:00:00,2,3.0,-999.0,19.2,17.3,15.3,14.4,13.1,3.0,1008.6,971.6,3.0,10.2,13.7,14.1,963.4,17.9,66.6,11.6,3.0,17.9,66.0,0.0,,,,503.0,0.0,0.0,3.0,14.9,11.3,3.0,   I,8.0,,,,,764.5,7,14.5,23,7.9,15.0
2024-05-06 12:00:00,3,3.0,-999.0,19.4,17.9,15.8,14.3,13.1,3.0,1008.8,971.8,3.0,9.6,13.0,13.7,963.2,17.9,63.1,10.8,3.0,17.9,63.0,0.2,,,,503.0,0.0,0.0,3.0,14.7,10.5,3.0,   I,8.0,,,,,764.5,7,14.5,23,7.9,15.0
2024-05-06 13:00:00,4,3.0,-999.0,18.7,18.0,16.2,14.3,13.1,3.0,1009.0,971.9,3.0,9.9,13.3,13.8,963.2,17.6,66.1,11.2,3.0,17.6,66.0,0.3,,,,503.0,0.0,0.0,3.0,14.2,10.9,3.0,   I,7.0,,,,,764.5,7,14.5,23,7.9,15.0
2024-05-06 14:00:00,5,3.0,-999.0,19.0,18.0,16.4,14.4,13.1,3.0,1009.1,972.1,3.0,10.2,13.7,14.3,962.7,18.4,64.5,11.6,3.0,18.4,64.0,0.4,,,,503.0,0.0,0.0,3.0,14.3,11.8,3.0,   I,8.0,,,,,764.5,7,14.5,23,7.9,15.0
2024-05-06 15:00:00,6,3.0,-999.0,19.2,18.3,16.6,14.4,13.1,3.0,1009.6,972.4,3.0,8.7,11.6,13.0,962.7,18.3,55.3,9.2,3.0,18.3,55.0,0.4,,,,503.0,0.0,0.0,3.0,13.6,11.6,3.0,   I,8.0,,,,,764.5,7,14.5,23,7.9,15.0
2024-05-06 16:00:00,7,3.0,-999.0,18.0,18.0,16.8,14.4,13.1,3.0,1009.9,972.8,3.0,8.6,11.6,12.3,963.5,16.6,61.2,9.1,3.0,16.6,61.0,0.1,,,,503.0,0.0,0.0,3.0,14.4,11.1,3.0,   I,8.0,,,,,764.5,7,14.5,23,7.9,15.0
2024-05-06 17:00:00,8,3.0,-999.0,16.9,17.4,16.8,14.5,13.1,3.0,1010.5,973.3,3.0,10.7,14.1,12.7,964.5,13.5,91.2,12.1,3.0,13.5,91.0,0.0,,,,503.0,0.0,0.0,3.0,13.7,11.4,3.0,   I,8.0,,,,,764.5,7,14.5,23,7.9,15.0
2024-05-06 18:00:00,9,3.0,-999.0,15.9,16.7,16.6,14.5,13.1,3.0,1011.1,973.9,3.0,10.6,14.0,12.2,965.1,12.6,95.5,11.9,3.0,12.6,96.0,0.0,,,,503.0,0.0,0.0,3.0,13.7,11.6,3.0,   I,8.0,,,,,764.5,7,14.5,23,7.9,15.0
2024-05-06 19:00:00,10,3.0,-999.0,15.3,16.1,16.4,14.6,13.1,3.0,1011.9,974.6,3.0,10.6,14.0,12.1,965.5,12.4,96.8,11.9,3.0,12.4,97.0,0.0,,,,503.0,0.0,0.0,3.0,13.0,11.1,3.0,   I,8.0,,,,,764.5,7,14.5,23,7.9,15.0
2024-05-06 20:00:00,11,3.0,-999.0,14.8,15.6,16.1,14.6,13.1,3.0,1012.5,975.2,3.0,10.5,13.9,12.0,966.0,12.4,96.1,11.8,3.0,12.4,96.0,0.0,,,,502.0,0.0,0.0,3.0,13.0,11.3,3.0,   I,8.0,,,,,764.5,7,14.5,23,7.9,15.0
2024-05-06 21:00:00,12,3.0,-999.0,14.5,15.2,15.8,14.7,13.1,3.0,1012.5,975.1,3.0,10.0,13.2,11.6,966.2,12.3,92.4,11.1,3.0,12.3,92.0,0.0,,,,500.0,0.0,0.0,3.0,12.8,10.7,3.0,   I,8.0,,,,,764.5,7,14.5,23,7.9,15.0
2024-05-06 22:00:00,13,3.0,-999.0,14.0,14.9,15.6,14.7,13.1,3.0,1013.2,975.7,3.0,9.3,12.2,10.6,966.8,11.4,90.5,9.9,3.0,11.4,90.0,0.0,,,,500.0,0.0,0.0,3.0,12.4,10.7,3.0,   I,8.0,,,,,764.5,7,14.5,23,7.9,15.0
2024-05-06 23:00:00,14,3.0,-999.0,13.7,14.5,15.3,14.7,13.1,3.0,1013.2,975.8,3.0,9.2,12.1,10.5,966.9,11.4,89.9,9.8,3.0,11.4,90.0,0.0,,,,500.0,0.0,0.0,3.0,12.9,10.0,3.0,   I,8.0,,,,,764.5,7,14.5,23,7.9,15.0
2024-05-07 00:00:00,15,3.0,-999.0,13.3,14.2,15.1,14.7,13.1,3.0,1013.5,976.0,3.0,9.2,12.0,10.4,967.0,11.3,89.9,9.7,3.0,11.3,90.0,0.0,0.0,,,500.0,0.0,0.0,3.0,12.6,9.5,3.0,   I,8.0,,,,,-,-,-,-,-,15.0
2024-05-07 01:00:00,16,3.0,-999.0,12.8,13.9,14.9,14.7,13.1,3.0,1013.8,976.2,3.0,9.1,12.0,10.1,967.2,10.7,92.9,9.6,3.0,10.7,93.0,0.0,,,,500.0,0.0,0.0,3.0,11.9,9.5,3.0,   I,8.0,,,,,-,-,-,-,-,15.0
2024-05-07 02:00:00,17,3.0,-999.0,12.2,13.4,14.6,14.7,13.1,3.0,1013.6,975.9,3.0,8.9,11.6,9.6,967.0,10.1,94.1,9.2,3.0,10.1,94.0,0.0,,,,500.0,0.0,0.0,3.0,10.9,9.2,3.0,   I,8.0,,,,,-,-,-,-,-,15.0
2024-05-07 03:00:00,18,3.0,-999.0,11.8,13.0,14.3,14.6,13.1,3.0,1013.8,976.1,3.0,8.2,10.7,8.4,967.0,8.9,94.1,8.0,3.0,8.9,94.0,0.0,,,,500.0,0.0,0.0,3.0,11.2,8.7,3.0,   I,8.0,,,,,-,-,-,-,-,15.0
2024-05-07 04:00:00,19,3.0,-999.0,11.8,12.7,14.1,14.6,13.1,3.0,1013.9,976.1,3.0,9.0,11.8,9.8,967.3,10.4,93.5,9.4,3.0,10.4,93.0,0.0,,,,502.0,0.0,0.0,3.0,10.5,8.3,3.0,   I,8.0,,,,,-,-,-,-,-,15.0
2024-05-07 05:00:00,20,3.0,-999.0,12.0,12.7,13.8,14.5,13.1,3.0,1014.2,976.4,3.0,8.9,11.6,9.9,967.6,10.7,90.4,9.2,3.0,10.7,90.0,0.0,,,,503.0,25.0,18.0,3.0,10.4,8.2,3.0,   I,8.0,,,,,-,-,-,-,-,15.0
2024-05-07 06:00:00,21,3.0,-999.0,12.6,12.8,13.7,14.5,13.1,3.0,1014.4,976.7,3.0,8.9,11.6,10.1,968.0,11.3,86.9,9.2,3.0,11.3,87.0,0.0,,,,503.0,17.0,2.0,3.0,11.2,8.3,3.0,   I,8.0,,,,,-,-,-,-,-,15.0
2024-05-07 07:00:00,22,3.0,-999.0,13.4,13.3,13.7,14.4,13.1,3.0,1014.5,977.0,3.0,9.0,11.8,10.6,968.4,12.0,84.1,9.4,3.0,12.0,84.0,0.0,,,,503.0,48.0,5.0,3.0,12.7,8.6,3.0,   I,8.0,,,,,-,-,-,-,-,15.0
2024-05-07 08:00:00,23,3.0,-999.0,14.4,13.8,13.7,14.4,13.1,3.0,1014.6,977.3,3.0,8.9,11.7,10.9,968.6,12.9,78.7,9.3,3.0,12.9,79.0,0.0,,,,503.0,60.0,0.0,3.0,14.0,8.5,3.0,   I,8.0,,,,,-,-,-,-,-,15.0
